ID,A1,A2,A2-1,A3,A4,B1,B2,B3,B4,B5,B6,C1,C1-1,C2,C3,C4
600,1,106,7,23000,699,1,2,1,3,2,1,88,3,1,5,7
601,8,107,2,3000,0,2,2,2,3,2,2,87,9,1,1,7
602,1,103,11,30000,299,1,1,5,2,3,2,87,2,1,1,7
603,1,106,9,19000,600,1,1,1,3,3,2,88,7,1,1,7
604,1,106,8,27000,300,2,2,1,3,3,2,88,8,1,1,7
605,2,107,8,21300,499,1,1,2,1,1,1,89,4,1,5,7
606,1,105,10,22000,299,2,3,5,2,3,2,88,12,1,5,7
607,6,107,7,1000,705,2,2,2,3,3,3,89,4,1,1,7
608,1,104,6,20000,0,1,1,6,2,2,2,85,6,1,1,7
609,6,107,6,16000,499,2,2,5,1,1,1,88,12,1,1,7
610,1,107,7,32000,1399,2,2,2,4,2,1,85,9,1,1,7
611,1,105,7,18900,799,2,2,3,2,2,3,87,10,1,2,7
612,1,106,5,28900,699,2,2,5,2,2,2,88,7,1,4,7
613,1,106,12,20000,799,1,1,1,2,2,2,88,6,1,3,7
614,6,106,3,5000,299,3,4,1,3,3,4,89,8,1,1,7
615,3,106,3,10000,789,2,2,3,4,3,2,89,9,1,1,7
616,1,105,1,22000,499,2,2,2,1,2,2,89,2,1,1,7
617,1,105,10,20000,1000,4,2,1,5,1,3,89,1,1,1,7
618,3,106,9,5700,200,2,2,3,4,2,2,87,10,1,1,7
619,6,107,4,4000,450,2,3,1,2,2,3,89,4,1,1,7
620,4,107,6,15000,799,1,1,1,4,4,1,89,4,1,3,7
1100,1,107,1,29000,499,1,1,2,2,2,2,87,5,1,1,7
1101,3,107,5,8000,499,1,1,1,1,1,1,89,1,2,1,7
1102,1,103,9,20000,499,2,2,1,2,2,2,83,5,2,1,7
1103,4,107,9,30000,599,3,3,1,3,3,3,52,5,2,1,5
1104,1,106,10,16000,499,2,2,1,2,2,2,52,3,1,1,2
1105,1,107,7,18000,499,3,3,1,2,3,3,88,2,2,2,7
1106,6,107,8,8000,199,3,3,1,3,3,3,88,8,1,1,7
1107,7,105,3,9000,399,3,3,1,3,3,3,88,8,1,1,7
1108,4,105,3,9000,199,3,3,2,3,3,3,87,10,1,1,7
1109,3,107,5,17900,699,2,2,1,3,2,3,88,5,1,4,7
1110,3,106,8,16000,499,3,3,3,3,3,3,88,7,1,1,7
1111,1,107,6,25000,599,1,2,3,2,3,2,89,11,2,1,7
1112,1,106,10,25500,565,1,1,1,1,1,1,84,6,1,1,7
1113,6,104,1,5000,199,3,3,1,3,3,3,87,9,1,2,7
1114,8,106,8,15000,199,2,2,1,2,2,2,88,8,2,1,7
1115,4,104,4,13000,299,2,2,1,3,3,2,88,7,2,5,7
1116,1,107,4,28000,499,2,2,3,3,3,2,87,12,1,5,7
1117,1,106,3,32000,799,2,3,3,4,4,3,87,10,2,2,7
1118,1,105,2,14400,399,1,1,1,2,2,2,88,3,1,5,7
1119,4,106,7,12000,488,2,1,1,3,3,3,87,9,2,2,7
1120,1,107,5,28000,499,1,1,1,1,1,1,88,5,1,1,7
2500,3,106,2,15990,697,1,2,1,3,3,2,88,7,1,4,7
2501,1,107,3,25000,693,1,2,1,5,3,2,86,4,2,4,7
2502,1,106,8,22000,699,1,1,1,3,3,2,88,3,1,5,7
2503,2,106,8,5000,699,2,5,1,4,3,3,88,5,1,1,7
2504,6,104,1,5000,199,3,3,1,3,4,3,87,9,1,2,7
2505,1,107,4,28000,499,1,1,1,1,1,1,88,5,1,1,7
2506,4,106,8,9900,462,3,4,1,4,3,3,90,11,1,4,7
2507,1,106,9,25000,1399,1,1,2,2,2,1,84,9,1,4,4
2508,1,107,3,29000,599,1,1,3,1,3,1,84,6,2,4,4
2509,6,105,5,4999,99,2,5,1,3,2,4,62,5,2,4,8
2510,3,107,7,17990,299,2,1,1,2,3,1,58,10,1,4,3
2511,1,105,7,26500,499,1,1,3,1,1,1,83,7,2,1,4
2512,1,106,6,17000,1399,2,2,1,2,2,2,81,7,1,4,4
2513,1,105,3,17000,999,2,2,3,3,3,2,85,7,2,4,7
2514,3,106,9,23000,1399,1,1,1,2,2,1,77,4,1,4,4
2515,1,107,1,31000,699,1,1,3,2,2,2,88,12,2,4,7
2516,3,106,9,27000,99,2,1,1,1,2,2,86,12,1,4,4
2517,6,106,1,10000,399,2,2,3,3,2,2,89,1,2,4,7
2518,1,106,3,17000,499,2,2,2,1,2,2,76,3,1,4,4
2519,5,107,7,12900,599,2,2,4,3,3,1,82,4,2,4,2
2520,1,107,9,41500,1399,1,1,5,3,3,2,78,3,1,2,4
2801,1,105,7,14400,399,2,2,1,2,2,2,88,7,2,1,7
2802,1,106,8,27000,1399,1,2,1,1,1,1,88,3,1,1,7
2803,1,107,3,12000,499,1,1,3,2,1,1,87,10,2,2,7
2804,8,106,12,5000,1399,2,2,3,3,3,3,86,11,2,1,7
2805,1,106,10,25500,565,2,1,2,1,2,2,88,3,2,2,7
2806,8,106,5,6000,899,1,1,1,1,2,1,87,10,2,1,7
2807,8,106,2,6000,700,3,2,1,2,2,2,88,7,2,2,7
2808,3,103,5,20000,499,2,2,1,3,2,2,88,8,2,2,7
2809,1,107,5,21000,589,1,1,1,1,4,1,88,5,1,4,7
2810,1,107,1,29000,499,1,1,2,2,2,2,87,6,1,1,7
2811,8,104,5,7900,499,1,1,3,1,1,2,88,1,1,4,7
2812,1,105,10,20000,488,1,1,3,2,1,1,88,3,1,2,7
2813,1,107,1,35900,760,1,1,2,2,5,1,88,1,1,2,7
2814,1,106,10,28000,599,1,2,2,2,4,2,88,3,2,1,7
2815,3,107,8,17000,1200,1,2,2,4,3,3,87,12,2,1,7
2816,3,106,11,19000,499,2,2,1,2,3,2,88,1,2,1,7
2817,8,105,2,10800,200,1,1,2,2,4,2,88,3,1,1,7
2818,3,106,8,21000,1390,1,1,2,1,2,1,88,8,1,1,7
2819,1,106,4,26000,1399,1,1,1,1,1,1,87,9,1,1,7
2820,1,106,6,27000,1399,1,1,1,1,1,1,87,12,1,1,7
3000,8,106,6,15900,699,2,2,3,3,3,2,87,12,1,5,7
3001,3,106,4,15900,499,2,2,3,2,2,2,88,6,1,4,7
3002,1,107,5,28000,499,1,1,1,1,1,1,88,5,1,1,7
3003,1,106,10,26000,887,2,2,1,4,3,2,87,12,1,1,7
3004,1,105,9,18900,499,1,1,3,1,1,1,87,10,1,1,7
3005,2,107,6,5000,699,2,4,1,3,4,3,88,5,1,1,7
3006,1,106,8,23000,699,1,2,1,3,2,2,88,3,1,5,7
3007,2,106,7,4500,799,4,5,2,5,5,5,87,12,2,1,7
3008,6,104,1,5000,199,3,3,1,3,3,3,87,9,1,2,7
3009,8,106,1,20000,299,2,2,1,1,2,2,88,8,2,1,7
3010,3,107,8,12200,346,2,1,1,2,3,2,87,9,2,1,7
3011,2,106,5,12000,699,2,2,2,2,2,2,87,10,1,2,7
3012,1,106,7,23000,699,1,1,1,1,1,1,88,5,1,1,7
3013,1,106,9,28000,699,1,1,1,1,1,1,87,9,2,1,7
3014,1,106,9,28900,599,1,1,1,2,2,1,88,5,1,2,7
3015,1,106,2,31000,599,2,2,5,3,4,3,88,7,2,2,7
3016,1,106,1,20000,699,2,2,1,3,3,6,87,12,1,1,7
3017,6,107,2,11500,699,2,2,5,2,2,5,88,7,1,2,7
3018,1,107,9,6000,699,2,2,5,2,2,2,88,7,1,2,7
3019,1,107,2,25000,599,2,2,5,4,3,2,88,6,2,1,7
3020,4,105,4,13000,299,2,1,1,2,2,3,80,7,2,5,4
3200,2,106,3,13000,499,2,2,1,2,2,2,87,10,2,1,7
3201,3,107,5,8000,499,1,1,1,1,1,1,89,1,2,1,7
3202,1,107,9,40000,499,2,2,1,2,2,2,83,5,2,1,7
3203,3,107,5,13000,399,3,3,1,3,3,3,52,5,2,1,5
3204,1,106,10,16000,499,2,2,1,2,2,2,52,3,1,1,2
3205,1,107,7,18000,499,3,3,1,2,3,3,88,2,2,2,7
3206,6,107,5,8000,199,3,3,1,3,3,3,88,8,1,1,7
3207,7,105,6,9000,399,3,3,1,3,3,3,88,8,1,1,7
3208,4,105,3,9000,199,3,3,2,3,3,3,87,10,1,1,7
3209,3,107,4,17900,699,2,2,1,3,2,3,88,5,1,4,7
3210,3,106,8,16000,499,3,3,3,3,3,3,88,7,1,1,7
3211,1,107,7,18000,499,2,2,1,2,3,2,89,11,2,1,7
3212,1,107,9,40000,499,1,1,1,1,1,1,84,6,1,1,7
3213,6,104,1,5000,199,3,3,1,3,3,3,87,9,1,2,7
3214,8,106,1,15000,199,2,2,1,2,2,2,88,8,2,1,7
3215,4,104,4,13000,299,2,2,1,3,3,2,88,7,2,5,7
3216,8,106,6,15900,699,2,2,3,3,3,2,87,12,1,5,7
3217,1,106,2,32000,799,2,3,3,4,4,3,87,10,2,2,7
3218,1,106,7,23000,699,1,1,1,2,2,2,88,3,1,5,7
3219,4,106,7,12000,488,2,3,1,3,3,3,87,9,2,2,7
3220,1,107,5,28000,499,1,1,1,1,1,1,88,5,1,1,7
