ID,A1,A2,A2-1,A3,A4,B1,B2,B3,B4,B5,B6,C1,C1-1,C2,C3,C4
400,1,106,9,23000,599,2,2,3,2,3,2,88,7,1,1,7
401,3,107,6,17000,599,2,1,2,2,3,2,87,9,2,1,7
402,1,106,10,23500,599,3,2,4,3,2,2,88,3,2,2,7
403,1,107,2,32000,899,1,1,1,1,1,1,88,3,1,2,7
404,4,105,10,16000,499,2,2,3,3,3,2,84,10,1,1,4
405,1,106,10,28900,699,2,2,2,2,2,2,82,1,2,3,6
406,1,107,2,26500,599,2,3,2,2,2,2,87,2,1,2,7
407,1,106,7,25000,899,1,2,1,2,3,3,80,10,1,2,3
408,2,106,3,18900,999,3,2,2,2,3,3,87,11,1,1,7
409,1,105,10,19900,1080,2,2,3,4,1,2,84,2,1,1,4
410,3,104,3,18000,499,2,3,3,1,2,2,88,3,1,1,7
411,1,107,1,32000,999,1,1,3,3,2,3,86,10,2,2,7
412,1,107,4,26000,699,1,1,2,2,2,3,85,4,1,1,7
413,1,106,11,18900,849,2,2,5,4,3,2,86,3,1,4,7
414,2,105,8,16800,599,2,3,3,2,2,2,88,3,1,2,7
415,4,107,6,14500,399,2,3,3,4,3,2,88,2,2,2,7
416,3,105,9,18000,599,2,2,3,3,3,3,87,12,1,1,7
417,1,107,2,29000,899,2,2,1,4,3,2,85,6,1,3,4
418,1,105,5,24000,999,1,1,1,4,3,3,88,3,1,2,7
419,1,106,10,24500,699,2,2,1,3,2,2,82,9,2,2,6
420,1,107,4,28900,999,2,2,2,3,3,3,88,3,1,1,7
500,1,105,9,24500,499,1,2,3,1,1,1,87,10,1,1,7
501,8,106,12,499,699,1,1,1,1,1,1,88,8,1,2,7
502,1,106,1,23000,600,1,1,3,2,2,2,80,12,2,2,4
503,3,107,8,12500,499,2,2,1,1,2,2,67,4,2,2,4
504,8,107,5,4990,599,2,4,5,1,3,4,79,5,1,2,4
505,1,105,9,18000,988,1,4,1,4,4,4,87,10,1,1,7
506,1,107,7,24000,1200,1,1,3,3,2,2,87,12,2,1,7
507,1,105,9,21000,899,1,2,3,5,4,2,87,10,1,1,4
508,3,107,1,28000,1000,1,1,3,2,2,2,55,12,2,1,4
509,1,103,7,22500,699,2,2,3,4,4,3,87,12,1,1,7
510,1,105,2,22900,499,1,1,3,1,4,1,88,5,1,2,7
511,1,107,5,23000,598,2,2,4,3,3,2,88,7,2,1,7
512,1,106,3,20000,1000,1,1,1,1,1,2,87,10,2,1,7
513,1,106,2,19900,1399,2,2,3,3,3,2,87,9,2,4,7
514,1,104,10,20000,699,2,2,1,2,2,3,88,1,1,2,7
515,4,106,8,10000,999,2,1,3,4,2,2,88,3,2,2,7
516,1,105,6,13000,999,2,2,1,2,2,2,88,8,2,2,7
517,3,105,3,10000,1399,2,2,1,4,3,2,88,3,2,2,7
518,1,106,10,19000,499,2,1,3,2,2,2,88,5,2,2,7
519,2,105,8,15000,600,2,3,1,2,3,3,88,6,2,2,7
520,8,106,6,15900,699,2,2,3,3,3,2,87,12,1,5,7
1000,1,106,10,26000,887,1,1,1,4,3,2,87,12,1,1,7
1001,1,106,6,23000,600,2,2,3,2,2,2,80,12,2,2,4
1002,1,105,11,28000,1000,1,1,1,2,1,1,51,5,1,1,4
1003,1,107,6,21500,699,1,1,1,2,2,2,52,11,2,1,1
1004,1,106,11,29000,699,2,1,2,2,2,2,82,9,1,2,4
1005,1,107,8,22000,1399,1,1,2,3,4,1,81,11,1,2,4
1006,8,106,6,15900,699,2,2,3,3,3,2,87,12,1,5,7
1007,3,106,3,16900,799,2,2,1,3,2,2,88,7,1,4,7
1008,1,107,5,28000,499,1,1,1,1,1,1,88,5,1,1,7
1009,1,105,9,18900,499,1,1,3,1,1,1,87,10,1,1,7
1010,1,106,7,20000,1025,2,2,3,4,4,3,87,12,2,2,7
1011,2,107,5,5000,699,3,4,1,3,4,3,88,5,1,1,7
1012,1,106,7,23000,699,1,2,1,3,2,2,88,3,1,5,7
1013,1,106,2,18000,799,3,3,3,4,4,2,58,2,2,2,4
1014,6,104,1,5000,199,3,3,1,3,3,3,87,9,1,1,7
1015,3,107,8,20000,399,2,2,5,2,2,2,84,4,2,1,4
1016,1,104,7,18000,499,2,2,1,2,2,2,86,7,2,1,7
1017,2,106,10,15000,183,2,2,1,2,2,2,50,10,1,1,2
1018,8,107,9,13000,1199,2,2,3,2,2,2,27,9,2,1,8
1019,2,107,6,14000,799,2,2,2,3,2,2,54,10,2,1,2
1020,8,106,4,9000,1,1,1,2,2,2,2,88,5,2,1,7
1500,1,108,7,28000,500,1,1,2,1,1,1,88,3,1,2,7
1501,6,107,2,11500,699,2,2,5,2,2,5,88,7,1,2,7
1502,1,107,4,6000,699,2,2,5,2,2,2,88,7,1,2,7
1503,6,104,1,5000,199,3,3,1,3,3,3,87,9,1,2,7
1504,1,107,5,28000,499,1,1,1,1,1,1,88,5,1,1,7
1505,2,106,5,5000,699,3,4,1,3,4,3,88,5,1,1,7
1506,8,106,6,15900,699,2,2,3,2,3,3,87,12,1,5,7
1507,1,106,8,23000,699,1,2,1,3,2,1,88,3,1,5,7
1508,1,107,4,28000,499,1,1,1,1,1,1,88,5,1,1,7
1509,8,106,1,16000,299,2,2,1,1,2,3,88,8,2,1,7
1510,2,106,7,5000,699,4,4,2,5,5,4,87,12,2,1,7
1511,1,106,10,26000,488,2,2,1,2,2,2,87,12,1,1,7
1512,1,105,10,22000,500,1,1,4,1,1,1,88,4,2,2,7
1513,8,106,5,9000,0,2,2,1,2,2,2,88,5,2,1,7
1514,1,105,8,16000,1450,2,2,3,2,2,2,88,8,1,1,7
1515,4,106,7,12000,488,2,3,1,3,3,3,87,9,2,2,7
1516,1,105,9,24500,499,1,4,3,1,3,2,87,10,1,1,7
1517,2,107,3,26000,500,1,1,2,3,3,2,88,2,1,2,7
1518,1,107,8,32000,500,1,2,3,1,2,2,88,6,2,3,7
1519,1,107,3,20000,1000,2,4,3,3,2,2,88,8,2,1,7
1520,1,106,1,23900,699,1,2,1,3,3,2,87,12,1,1,7
1600,1,105,8,20000,899,2,2,4,3,3,1,88,3,2,4,7
1601,1,107,5,20000,1000,2,3,3,3,3,3,88,8,2,4,7
1602,1,106,8,25000,699,2,2,1,2,2,2,78,8,2,1,2
1603,1,107,5,28000,499,1,1,1,1,1,1,88,5,1,1,7
1604,8,106,6,15900,699,2,2,3,3,3,2,87,12,1,5,7
1605,1,106,8,24000,699,1,1,1,3,2,1,88,3,1,5,7
1606,2,106,12,5500,388,3,4,5,2,3,3,88,4,2,2,7
1607,1,107,1,29000,499,1,1,2,1,1,1,88,5,1,1,7
1608,1,107,1,29000,499,1,1,2,1,1,1,88,5,1,1,7
1609,8,106,5,9000,0,2,2,1,2,3,3,88,5,2,1,7
1610,1,106,10,25000,599,2,2,1,1,1,2,86,2,1,1,7
1611,2,106,7,9000,699,4,4,2,5,5,5,87,12,2,1,7
1612,3,106,4,15990,599,1,2,1,3,2,3,88,6,1,4,4
1613,1,107,2,25000,599,2,2,5,4,3,2,88,6,2,1,7
1614,7,107,9,10000,699,3,4,5,2,2,2,88,1,1,1,7
1615,1,107,8,32000,400,1,2,3,2,1,2,88,6,2,3,7
1616,1,106,10,26000,488,2,2,2,2,2,2,87,12,1,1,7
1617,1,106,8,25000,899,2,1,3,3,3,2,87,12,2,4,7
1618,3,107,8,13300,399,1,1,1,2,2,2,87,9,2,1,7
1619,1,106,2,31000,599,2,2,5,3,4,3,88,7,2,2,7
1620,8,106,1,16000,299,2,2,1,1,2,2,88,8,2,1,7
2000,1,106,10,28000,899,1,1,2,2,1,1,87,11,2,1,7
2001,1,106,11,23800,699,2,2,1,1,1,3,87,11,2,1,7
2002,1,107,1,20000,689,3,1,2,3,2,1,86,3,2,2,4
2003,1,106,5,23000,599,2,1,2,2,2,2,87,12,1,1,7
2004,1,107,2,23000,599,2,3,2,2,1,1,88,1,2,2,7
2005,1,107,2,28900,799,3,2,3,3,2,2,88,2,2,1,7
2006,1,107,5,32000,899,2,2,2,2,2,1,83,8,1,1,1
2007,2,107,2,18900,599,2,3,2,2,1,1,88,7,2,2,7
2008,1,106,5,26500,599,2,2,3,2,2,2,88,7,1,1,7
2009,3,106,9,18000,399,2,2,2,2,2,2,88,3,1,2,7
2010,1,107,3,28000,899,3,2,1,2,3,3,88,2,2,4,7
2011,1,107,5,28000,599,1,2,2,2,1,1,88,7,1,2,7
2012,1,107,2,26500,899,1,2,2,3,2,2,88,4,2,4,7
2013,2,107,8,18000,599,2,3,2,2,2,2,87,1,1,4,7
2014,7,107,5,13000,499,2,4,3,2,3,2,88,2,2,3,7
2015,1,105,9,20000,499,2,2,2,2,2,2,88,1,1,2,7
2016,3,106,3,23000,599,2,3,1,2,2,2,88,7,1,2,7
2017,1,105,8,27600,499,2,4,1,2,3,2,88,4,1,5,7
2018,1,107,8,32000,499,1,2,3,1,1,1,88,6,2,3,7
2019,1,106,12,10800,499,2,2,5,3,3,2,84,3,1,3,4
2020,1,105,9,19500,699,2,2,3,3,2,2,83,3,2,4,4
2400,1,107,8,32000,499,1,2,3,2,1,2,88,6,3,7,7
2401,2,106,5,5000,699,3,4,1,3,4,3,88,5,1,1,7
2402,1,107,2,25000,499,2,2,4,3,2,2,88,5,2,1,7
2403,1,106,8,24000,699,1,1,1,3,2,1,88,3,1,5,7
2404,1,106,8,28000,699,1,1,1,2,2,1,82,5,1,1,4
2405,2,106,7,9000,699,4,4,2,5,5,4,87,12,2,1,7
2406,1,106,9,28900,599,1,1,1,3,4,1,88,5,2,7,7
2407,8,106,1,19000,299,2,2,1,1,1,2,88,8,2,1,7
2408,1,106,5,26000,699,2,2,1,1,1,2,76,5,2,1,6
2409,3,106,3,14990,499,2,2,1,3,3,3,88,5,1,4,7
2410,1,105,8,16000,1405,2,2,3,2,2,2,88,8,1,1,7
2411,1,107,5,19999,1000,2,2,3,2,2,2,88,8,2,1,7
2412,1,106,10,26000,488,2,2,1,2,2,2,87,12,1,1,7
2413,1,107,5,28000,699,2,2,5,2,1,2,87,9,1,3,7
2414,3,107,8,13300,399,1,1,1,2,2,2,87,9,2,1,7
2415,1,106,2,31000,599,2,2,5,3,4,3,88,7,2,2,7
2416,4,106,7,12000,488,2,3,1,3,3,3,87,9,2,2,7
2417,1,105,9,24500,499,1,4,3,1,3,2,87,10,1,1,7
2418,2,106,3,29000,499,2,2,1,2,2,2,88,3,2,1,7
2419,8,106,5,9000,0,2,2,1,2,3,2,88,5,2,1,7
2420,3,106,6,16900,699,2,3,2,3,2,2,88,6,1,4,7
