ID,A1,A2,A2-1,A3,A4,B1,B2,B3,B4,B5,B6,C1,C1-1,C2,C3,C4
¹s100,1 ,105 ,10 ,10000 ,499 ,1 ,1 ,4 ,1 ,3 ,2 ,88 ,4 ,2 ,2 ,7 
¹s101,1 ,106 ,3 ,20000 ,699 ,1 ,1 ,1 ,1 ,1 ,1 ,69 ,7 ,1 ,2 ,4 
¹s102,2 ,106 ,9 ,8000 ,475 ,2 ,2 ,3 ,2 ,2 ,2 ,40 ,12 ,1 ,2 ,9 
¹s103,1 ,106 ,9 ,20500 ,615 ,1 ,1 ,3 ,1 ,1 ,1 ,87 ,9 ,2 ,2 ,7 
¹s104,3 ,105 ,2 ,9500 ,500 ,2 ,2 ,2 ,3 ,3 ,2 ,73 ,5 ,1 ,2 ,2 
¹s105,8 ,105 ,4 ,10000 ,799 ,1 ,1 ,5 ,2 ,2 ,2 ,88 ,5 ,2 ,1 ,7 
¹s106,1 ,106 ,4 ,23500 ,600 ,1 ,1 ,2 ,2 ,1 ,2 ,88 ,7 ,2 ,1 ,7 
¹s107,1 ,105 ,11 ,29700 ,575 ,1 ,1 ,2 ,2 ,1 ,1 ,88 ,1 ,1 ,1 ,7 
¹s108,8 ,107 ,7 ,15000 ,400 ,1 ,4 ,2 ,2 ,1 ,1 ,86 ,6 ,2 ,2 ,7 
¹s109,1 ,106 ,8 ,23000 ,499 ,1 ,1 ,1 ,1 ,1 ,1 ,65 ,11 ,2 ,2 ,4 
¹s110,8 ,105 ,9 ,16000 ,700 ,2 ,2 ,3 ,3 ,2 ,2 ,66 ,9 ,2 ,2 ,4 
¹s111,2 ,106 ,2 ,10000 ,685 ,2 ,2 ,1 ,3 ,3 ,2 ,74 ,3 ,1 ,2 ,4 
¹s112,1 ,106 ,3 ,17000 ,515 ,1 ,1 ,1 ,1 ,1 ,1 ,77 ,5 ,2 ,2 ,2 
¹s113,1 ,107 ,2 ,32500 ,577 ,1 ,3 ,1 ,1 ,1 ,2 ,85 ,3 ,1 ,2 ,4 
¹s114,8 ,106 ,5 ,12500 ,500 ,1 ,1 ,4 ,1 ,1 ,1 ,82 ,7 ,2 ,2 ,4 
¹s115,7 ,104 ,5 ,13000 ,500 ,1 ,1 ,2 ,3 ,2 ,1 ,75 ,8 ,2 ,2 ,4 
¹s116,1 ,107 ,1 ,32500 ,615 ,1 ,3 ,1 ,1 ,1 ,1 ,86 ,3 ,2 ,1 ,3 
¹s117,1 ,106 ,10 ,20500 ,499 ,1 ,1 ,4 ,2 ,2 ,1 ,80 ,2 ,1 ,2 ,4 
¹s118,3 ,105 ,4 ,10000 ,655 ,1 ,1 ,2 ,3 ,1 ,1 ,73 ,7 ,1 ,1 ,4 
¹s119,2 ,104 ,3 ,8000 ,450 ,1 ,1 ,2 ,3 ,1 ,1 ,75 ,5 ,2 ,2 ,8 
¹s120,1 ,105 ,2 ,21500 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,77 ,8 ,1 ,1 ,4 
1300,1 ,105 ,3 ,18000 ,799 ,2 ,2 ,3 ,5 ,4 ,2 ,87 ,10 ,2 ,2 ,7 
1301,8 ,106 ,3 ,21000 ,499 ,2 ,2 ,1 ,2 ,2 ,2 ,86 ,1 ,1 ,2 ,7 
1302,1 ,107 ,2 ,28000 ,799 ,2 ,3 ,3 ,4 ,4 ,3 ,87 ,2 ,2 ,2 ,7 
1303,6 ,106 ,12 ,18000 ,499 ,3 ,3 ,2 ,3 ,3 ,3 ,58 ,1 ,2 ,2 ,4 
1304,1 ,106 ,12 ,32000 ,799 ,1 ,1 ,3 ,2 ,2 ,1 ,83 ,5 ,2 ,2 ,4 
1305,2 ,106 ,3 ,18000 ,499 ,3 ,3 ,1 ,2 ,3 ,3 ,87 ,5 ,1 ,2 ,7 
1306,8 ,106 ,4 ,20000 ,599 ,1 ,1 ,2 ,3 ,2 ,2 ,83 ,11 ,2 ,2 ,4 
1307,1 ,107 ,1 ,45000 ,799 ,1 ,1 ,1 ,2 ,2 ,2 ,72 ,8 ,2 ,2 ,9 
1308,3 ,107 ,8 ,12000 ,699 ,2 ,2 ,2 ,2 ,2 ,2 ,53 ,5 ,1 ,2 ,4 
1309,1 ,106 ,10 ,32000 ,799 ,2 ,2 ,2 ,2 ,3 ,2 ,58 ,1 ,2 ,2 ,4 
1310,1 ,106 ,10 ,29000 ,499 ,1 ,2 ,1 ,1 ,2 ,2 ,79 ,12 ,2 ,2 ,4 
1311,1 ,106 ,9 ,18500 ,999 ,2 ,2 ,3 ,4 ,2 ,2 ,86 ,6 ,2 ,2 ,7 
1312,1 ,105 ,10 ,22000 ,1399 ,1 ,1 ,2 ,2 ,1 ,2 ,80 ,12 ,1 ,2 ,4 
1313,7 ,106 ,12 ,12699 ,699 ,2 ,2 ,2 ,2 ,2 ,2 ,50 ,10 ,1 ,2 ,3 
1314,1 ,106 ,8 ,27000 ,499 ,2 ,2 ,1 ,2 ,2 ,3 ,52 ,2 ,2 ,2 ,4 
1315,2 ,107 ,4 ,30000 ,1399 ,3 ,3 ,1 ,3 ,3 ,3 ,71 ,2 ,1 ,1 ,4 
1316,3 ,107 ,4 ,27000 ,699 ,2 ,2 ,2 ,2 ,2 ,2 ,57 ,7 ,1 ,1 ,4 
1317,3 ,107 ,2 ,16000 ,699 ,2 ,2 ,3 ,2 ,2 ,2 ,89 ,10 ,1 ,1 ,7 
1318,3 ,104 ,2 ,7600 ,999 ,3 ,3 ,2 ,4 ,3 ,2 ,53 ,2 ,2 ,1 ,4 
1319,8 ,106 ,4 ,18000 ,499 ,1 ,2 ,1 ,2 ,3 ,2 ,87 ,12 ,2 ,1 ,7 
1320,1 ,106 ,1 ,28000 ,799 ,2 ,3 ,3 ,3 ,3 ,3 ,83 ,2 ,1 ,2 ,7 
2700,8 ,106,5,9000,0,2,1,1,1,1,2 ,88,5 ,2 ,1 ,7 
2701,1,104,7,26000,799,2,2,1,3,3,2 ,79,11,1,2 ,4
2702,1 ,106 ,12 ,40000 ,799 ,2 ,2 ,2,3,3 ,2 ,78 ,8 ,1 ,1 ,4
2703,1,107,3,24000,700,1,2,1,4,2,2 ,87,10,2 ,1 ,7
2704,8,107,8,15000,699,2,2,1,4,2,2 ,71,2,2 ,2,4
2705,1,106,2,24000,799,2,2,1,2,2,1,82,11,2 ,1,7
2706,8,106,2,3000,700,2,2,5,2,3,2 ,83,4,2 ,1,7 
2707,1,107,5,28500,689,1,1,1,2,2,2,86,2,1,1 ,7
2708,2 ,106,7,12000,0,2,2,1,3,3,3,86,3,2,1 ,7 
2709,1,104 ,2,24000,700,1,1,2,4,3,1,86,12,1 ,4,7
2710,1,106,7,5000,470,3,3,5,2,2,3,86,1,1 ,2,7 
2711,1,105 ,4,20990,499,2,2,1,1,2,2,77,9,2,1,4
2712,1,107,9,20990,389,1,1,1,1,1,1,88,1,2,1,7
2713,1,106,2,38000,799,3,3,3,4,4,3,87,10,2,2,7
2714,8,106,5,9000,0,2,2,1,2,2,2,87,2,2,1,7
2715,3,104,12,16000,0,2,3,1,3,2,2,54,11,1,1,4
2716,3,105,6,18000,0,2,2,1,3,3,3,60,7,2,1,4
2717,1,107,2,25000,699,2,2,2,5,2,2,87,10,2,5,7
2718,4,106,7,12000,488,2,4,1,3,3,3,87,9,2,2,7
2719,2,105,7,5000,399,2,2,3,2,3,3,80,8,2,2,9
2720,2 ,105 ,4 ,28000 ,799 ,2 ,3 ,1 ,3 ,2 ,3 ,82 ,2 ,1 ,1 ,4 
3300,1 ,106 ,4 ,25000 ,499 ,2 ,1 ,1 ,2 ,2 ,2 ,87 ,12 ,2 ,1 ,7 
3301,8 ,106 ,4 ,18000 ,499 ,2 ,3 ,2 ,2 ,2 ,1 ,87 ,12 ,2 ,1 ,7 
3302,1 ,105 ,2 ,26900 ,799 ,3 ,2 ,1 ,2 ,3 ,2 ,80 ,2 ,2 ,1 ,4 
3303,1 ,105 ,11 ,32000 ,1300 ,3 ,1 ,1 ,3 ,3 ,2 ,87 ,1 ,2 ,2 ,2 
3304,4 ,105 ,7 ,29000 ,799 ,2 ,2 ,3 ,2 ,1 ,1 ,82 ,12 ,1 ,1 ,4 
3305,7 ,104 ,12 ,12000 ,499 ,2 ,2 ,2 ,2 ,2 ,2 ,87 ,9 ,2 ,1 ,7 
3306,1 ,107 ,2 ,40000 ,1400 ,1 ,2 ,1 ,1 ,1 ,1 ,59 ,12 ,1 ,2 ,4 
3307,4 ,106 ,7 ,12000 ,499 ,2 ,1 ,2 ,2 ,1 ,3 ,86 ,7 ,1 ,2 ,7 
3308,2 ,104 ,2 ,29000 ,1400 ,2 ,3 ,4 ,3 ,2 ,1 ,72 ,7 ,2 ,2 ,3 
