ID,A1,A2,A2-1,A3,A4,B1,B2,B3,B4,B5,B6,C1,C1-1,C2,C3,C4
1200,3 ,107 ,8 ,9990 ,899 ,1 ,1 ,3 ,2 ,2 ,2 ,88 ,8 ,2 ,1 ,7 
1201,1 ,106 ,10 ,22500 ,298 ,1 ,3 ,1 ,1 ,3 ,2 ,87 ,10 ,2 ,1 ,7 
1202,1 ,107 ,1 ,28900 ,616 ,1 ,1 ,2 ,1 ,1 ,1 ,87 ,7 ,2 ,2 ,7 
1203,1 ,107 ,1 ,15000 ,299 ,1 ,1 ,2 ,3 ,3 ,2 ,87 ,8 ,2 ,2 ,7 
1204,1 ,104 ,6 ,12000 ,288 ,1 ,2 ,5 ,1 ,3 ,2 ,87 ,9 ,2 ,2 ,7 
1205,1 ,106 ,8 ,24500 ,1099 ,1 ,1 ,1 ,2 ,1 ,1 ,87 ,9 ,2 ,1 ,7 
1206,1 ,106 ,4 ,19900 ,1110 ,1 ,1 ,3 ,4 ,2 ,2 ,88 ,2 ,2 ,2 ,7 
1207,6 ,107 ,4 ,12000 ,1400 ,1 ,1 ,2 ,1 ,3 ,2 ,80 ,4 ,2 ,2 ,4 
1208,1 ,106 ,5 ,24500 ,589 ,1 ,1 ,1 ,2 ,2 ,1 ,88 ,2 ,2 ,2 ,7 
1209,1 ,107 ,8 ,28000 ,1399 ,2 ,2 ,1 ,2 ,2 ,2 ,56 ,1 ,2 ,2 ,4 
1210,8 ,107 ,10 ,7990 ,990 ,2 ,2 ,3 ,3 ,3 ,2 ,53 ,7 ,2 ,1 ,2 
1211,1 ,103 ,1 ,22500 ,499 ,2 ,2 ,1 ,2 ,2 ,2 ,58 ,8 ,2 ,1 ,1 
1212,6 ,106 ,9 ,9000 ,879 ,2 ,2 ,2 ,2 ,2 ,2 ,81 ,9 ,2 ,1 ,4 
1213,2 ,107 ,9 ,3000 ,1000 ,2 ,4 ,1 ,3 ,3 ,3 ,51 ,6 ,1 ,1 ,1 
1214,1 ,103 ,7 ,22500 ,1099 ,2 ,2 ,3 ,2 ,2 ,2 ,87 ,8 ,2 ,2 ,7 
1215,8 ,106 ,5 ,11161 ,877 ,2 ,3 ,1 ,3 ,2 ,2 ,61 ,6 ,2 ,2 ,4 
1216,8 ,105 ,12 ,13000 ,799 ,2 ,2 ,3 ,3 ,3 ,2 ,86 ,12 ,2 ,1 ,4 
1217,8 ,107 ,2 ,15000 ,699 ,1 ,1 ,2 ,2 ,3 ,2 ,83 ,4 ,2 ,2 ,6 
1218,6 ,106 ,7 ,2984 ,2899 ,2 ,4 ,1 ,2 ,2 ,2 ,85 ,12 ,1 ,2 ,4 
1219,1 ,105 ,12 ,22000 ,799 ,2 ,2 ,1 ,2 ,2 ,2 ,74 ,12 ,2 ,2 ,4 
1220,1 ,105 ,4 ,21000 ,848 ,1 ,1 ,1 ,1 ,1 ,1 ,80 ,2 ,2 ,1 ,3 
1700,2 ,104 ,7 ,14900 ,299 ,2 ,4 ,1 ,2 ,3 ,2 ,88 ,5 ,2 ,2 ,7 
1701,1 ,105 ,12 ,35000 ,499 ,1 ,1 ,2 ,2 ,3 ,2 ,61 ,4 ,2 ,1 ,2 
1702,1 ,105 ,7 ,32000 ,499 ,1 ,1 ,2 ,2 ,2 ,1 ,66 ,7 ,2 ,2 ,2 
1703,1 ,104 ,1 ,25000 ,498 ,2 ,2 ,2 ,2 ,3 ,2 ,65 ,4 ,2 ,1 ,2 
1704,2 ,106 ,9 ,9000 ,799 ,2 ,4 ,2 ,4 ,2 ,4 ,65 ,8 ,2 ,1 ,2 
1705,8 ,106 ,1 ,8000 ,299 ,2 ,2 ,2 ,1 ,1 ,2 ,63 ,9 ,1 ,2 ,2 
1706,1 ,105 ,9 ,23000 ,499 ,2 ,2 ,2 ,2 ,2 ,2 ,74 ,2 ,1 ,2 ,2 
1707,2 ,104 ,11 ,7000 ,499 ,1 ,2 ,2 ,5 ,3 ,3 ,65 ,4 ,1 ,2 ,2 
1708,3 ,104 ,3 ,15000 ,499 ,2 ,2 ,2 ,2 ,2 ,2 ,61 ,10 ,2 ,1 ,2 
1709,4 ,106 ,8 ,18000 ,1399 ,2 ,2 ,2 ,4 ,2 ,3 ,65 ,4 ,2 ,2 ,2 
1710,1 ,106 ,12 ,28000 ,699 ,1 ,1 ,2 ,4 ,3 ,2 ,63 ,12 ,2 ,2 ,2 
1711,3 ,105 ,2 ,20000 ,499 ,2 ,2 ,1 ,2 ,4 ,3 ,58 ,11 ,2 ,1 ,2 
1712,1 ,107 ,1 ,30000 ,499 ,1 ,1 ,2 ,1 ,1 ,1 ,59 ,11 ,2 ,1 ,2 
1713,8 ,107 ,3 ,9500 ,499 ,1 ,1 ,2 ,2 ,2 ,2 ,58 ,6 ,2 ,1 ,2 
1714,8 ,107 ,9 ,8800 ,499 ,2 ,2 ,2 ,2 ,2 ,2 ,50 ,5 ,2 ,2 ,2 
1715,1 ,105 ,7 ,28000 ,499 ,2 ,2 ,1 ,2 ,2 ,2 ,50 ,5 ,1 ,2 ,2 
1716,1 ,101 ,9 ,26900 ,299 ,2 ,2 ,2 ,2 ,2 ,2 ,82 ,3 ,1 ,2 ,8 
1717,1 ,105 ,10 ,27000 ,999 ,1 ,1 ,2 ,2 ,2 ,2 ,73 ,9 ,2 ,2 ,2 
1718,1 ,106 ,1 ,28000 ,499 ,2 ,2 ,1 ,3 ,2 ,2 ,74 ,7 ,2 ,2 ,2 
1719,1 ,105 ,3 ,21000 ,499 ,1 ,1 ,1 ,2 ,1 ,1 ,57 ,5 ,1 ,1 ,2 
1720,1 ,104 ,2 ,35000 ,499 ,1 ,1 ,1 ,2 ,2 ,2 ,55 ,4 ,2 ,2 ,2 
1800,2 ,107 ,7 ,4800 ,0 ,2 ,2 ,3 ,3 ,3 ,2 ,88 ,5 ,2 ,1 ,7 
1801,1 ,103 ,7 ,11300 ,800 ,1 ,1 ,1 ,1 ,1 ,1 ,88 ,5 ,2 ,1 ,7 
1802,2 ,104 ,7 ,20900 ,599 ,2 ,2 ,2 ,3 ,3 ,4 ,87 ,7 ,2 ,2 ,7 
1803,8 ,106 ,9 ,6300 ,389 ,2 ,2 ,3 ,2 ,3 ,2 ,88 ,4 ,2 ,5 ,7 
1804,2 ,107 ,3 ,7900 ,699 ,2 ,2 ,2 ,2 ,3 ,2 ,56 ,10 ,1 ,1 ,4 
1805,2 ,106 ,5 ,4900 ,0 ,3 ,2 ,3 ,3 ,3 ,2 ,54 ,12 ,2 ,1 ,8 
1806,4 ,105 ,6 ,8999 ,0 ,3 ,2 ,4 ,3 ,2 ,3 ,65 ,7 ,1 ,1 ,4 
1807,3 ,107 ,1 ,6500 ,399 ,2 ,3 ,3 ,2 ,2 ,3 ,52 ,3 ,2 ,4 ,4 
1808,2 ,107 ,9 ,22000 ,999 ,2 ,2 ,2 ,2 ,3 ,2 ,54 ,3 ,1 ,2 ,5 
1809,1 ,106 ,10 ,21500 ,699 ,2 ,2 ,1 ,3 ,3 ,2 ,54 ,7 ,1 ,1 ,4 
1810,6 ,106 ,8 ,11900 ,899 ,2 ,2 ,1 ,3 ,3 ,2 ,87 ,9 ,2 ,1 ,7 
1811,2 ,106 ,2 ,6500 ,599 ,2 ,2 ,2 ,3 ,3 ,2 ,88 ,5 ,2 ,1 ,7 
1812,2 ,102 ,3 ,20000 ,249 ,2 ,2 ,2 ,2 ,2 ,2 ,67 ,11 ,2 ,1 ,8 
1813,1 ,106 ,12 ,31588 ,789 ,1 ,1 ,2 ,2 ,2 ,2 ,89 ,2 ,2 ,1 ,7 
1814,1 ,107 ,2 ,31588 ,469 ,2 ,2 ,1 ,2 ,2 ,2 ,68 ,8 ,1 ,1 ,4 
1815,3 ,107 ,2 ,8345 ,398 ,2 ,2 ,2 ,3 ,3 ,2 ,80 ,3 ,1 ,1 ,4 
1816,4 ,106 ,10 ,12127 ,199 ,2 ,2 ,2 ,2 ,2 ,2 ,83 ,6 ,2 ,1 ,4 
1817,4 ,107 ,5 ,9324 ,199 ,2 ,2 ,5 ,3 ,3 ,2 ,79 ,12 ,2 ,1 ,3 
1818,3 ,107 ,1 ,20570 ,599 ,2 ,2 ,5 ,2 ,2 ,2 ,75 ,4 ,2 ,1 ,4 
1819,5 ,106 ,8 ,12108 ,288 ,2 ,2 ,5 ,3 ,2 ,3 ,63 ,12 ,2 ,1 ,4 
1820,3 ,107 ,8 ,25765 ,499 ,2 ,2 ,3 ,3 ,2 ,2 ,88 ,8 ,2 ,1 ,7 
3500,1 ,106 ,9 ,28000 ,699 ,1 ,1 ,1 ,,1 ,1 ,87 ,11 ,2 ,1 ,7 
3501,1 ,106 ,8 ,23000 ,1310 ,1 ,1 ,3 ,3 ,4 ,2 ,83 ,4 ,1 ,2 ,2 
3502,1 ,106 ,11 ,13000 ,699 ,2 ,2 ,3 ,1 ,5 ,2 ,62 ,3 ,2 ,5 ,8 
3503,5 ,105 ,6 ,5500 ,0 ,4 ,4 ,1 ,4 ,4 ,4 ,88 ,6 ,1 ,5 ,7 
3504,3 ,105 ,7 ,10500 ,799 ,1 ,1 ,1 ,1 ,1 ,1 ,88 ,7 ,1 ,1 ,7 
3505,1 ,106 ,1 ,20000 ,699 ,2 ,2 ,1 ,3 ,3 ,1 ,87 ,7 ,1 ,1 ,7 
3506,6 ,107 ,2 ,11500 ,699 ,2 ,2 ,5 ,2 ,2 ,5 ,88 ,8 ,1 ,2 ,7 
3507,1 ,107 ,9 ,6000 ,699 ,2 ,2 ,5 ,2 ,2 ,2 ,88 ,6 ,1 ,2 ,7 
3508,3 ,106 ,3 ,7900 ,699 ,2 ,2 ,2 ,1 ,1 ,2 ,56 ,4 ,1 ,5 ,5 
3509,1 ,107 ,7 ,4800 ,0 ,3 ,2 ,3 ,3 ,3 ,2 ,88 ,5 ,2 ,1 ,7 
3510,1 ,105 ,12 ,24500 ,585 ,1 ,1 ,1 ,1 ,1 ,1 ,86 ,5 ,2 ,1 ,7 
3511,1 ,107 ,6 ,27100 ,799 ,2 ,2 ,3 ,2 ,3 ,3 ,88 ,3 ,2 ,2 ,7 
3512,8 ,105 ,7 ,18000 ,299 ,2 ,2 ,1 ,2 ,2 ,2 ,85 ,5 ,2 ,2 ,7 
3513,6 ,105 ,5 ,6500 ,299 ,2 ,2 ,1 ,2 ,2 ,2 ,87 ,2 ,1 ,1 ,7 
3514,1 ,107 ,10 ,20000 ,499 ,2 ,2 ,2 ,1 ,2 ,2 ,89 ,2 ,1 ,1 ,7 
3515,1 ,107 ,7 ,20000 ,699 ,1 ,1 ,2 ,1 ,4 ,1 ,88 ,1 ,1 ,5 ,7 
3516,1 ,107 ,7 ,20000 ,499 ,2 ,2 ,1 ,2 ,3 ,2 ,89 ,12 ,2 ,5 ,7 
3517,7 ,107 ,7 ,7999 ,299 ,2 ,2 ,4 ,3 ,4 ,2 ,87 ,12 ,1 ,1 ,7 
3518,1 ,105 ,3 ,20000 ,288 ,1 ,1 ,1 ,1 ,1 ,1 ,89 ,7 ,2 ,1 ,7 
3519,3 ,105 ,3 ,20000 ,288 ,1 ,1 ,1 ,1 ,1 ,1 ,89 ,9 ,2 ,2 ,7 
3520,8 ,105 ,3 ,20000 ,288 ,1 ,1 ,5 ,1 ,1 ,1 ,89 ,9 ,2 ,2 ,7 
3500,1 ,107 ,7 ,22000 ,799 ,3 ,3 ,3 ,3 ,3 ,3 ,88 ,1 ,2 ,2 ,7 
3501,1 ,106 ,5 ,20000 ,599 ,2 ,2 ,3 ,3 ,2 ,1 ,86 ,11 ,2 ,2 ,7 
3502,7 ,106 ,8 ,12000 ,699 ,1 ,2 ,2 ,2 ,1 ,2 ,86 ,11 ,2 ,4 ,4 
3503,6 ,106 ,11 ,4800 ,699 ,3 ,3 ,3 ,3 ,3 ,2 ,87 ,9 ,2 ,3 ,7 
3504,4 ,107 ,2 ,16000 ,399 ,3 ,3 ,3 ,3 ,3 ,2 ,88 ,10 ,2 ,1 ,7 
3505,3 ,106 ,11 ,12000 ,799 ,3 ,3 ,3 ,3 ,3 ,2 ,85 ,5 ,1 ,1 ,1 
3506,6 ,106 ,2 ,7000 ,1399 ,4 ,4 ,3 ,4 ,3 ,4 ,67 ,8 ,2 ,2 ,4 
3507,1 ,106 ,11 ,32000 ,699 ,2 ,2 ,3 ,2 ,3 ,2 ,88 ,8 ,2 ,2 ,7 
3508,2 ,105 ,8 ,7000 ,499 ,3 ,3 ,5 ,2 ,3 ,2 ,86 ,3 ,1 ,2 ,7 
3509,2 ,107 ,10 ,10000 ,499 ,1 ,4 ,1 ,1 ,2 ,2 ,85 ,4 ,2 ,1 ,7 
3510,1 ,106 ,2 ,25000 ,999 ,3 ,3 ,3 ,2 ,2 ,2 ,60 ,3 ,2 ,2 ,4 
3511,1 ,107 ,8 ,25000 ,1399 ,1 ,2 ,1 ,1 ,2 ,1 ,77 ,7 ,2 ,4 ,4 
